shop_name,shop_address
ひとりしゃぶしゃぶ 七代目 松五郎,東京都港区赤坂3-7-12 ベストウェスタンホテルフィーノ東京赤坂 1F
TRUNK(KITCHEN),東京都渋谷区神宮前5-31
能登輪島,東京都中央区銀座7-2-8 東建ビル 3F
個室で味わう彩り和食 栄 有楽町駅前店,東京都千代田区有楽町1-2-9 2Ｆ・3Ｆ・4Ｆ
XIRINGUITO Escriba,東京都渋谷区渋谷3-21-3 渋谷ストリーム 3F
せんや本店,東京都中央区八重洲1-7-4 ナリカワビル 1F・B1F・2F
日本酒と地鶏 八兵衛,東京都港区芝浦3-12-1 マキノビル 3F
個室和食 東山 新宿本店,東京都新宿区西新宿2-4-1 新宿NSビル 29F
個室創作居酒屋スター,東京都千代田区麹町3-1-8 メイゾン麹町 B1F
個室居酒屋 番屋 新宿東口店,東京都新宿区新宿3-17-1 いさみやビル　５Ｆ
御八 新宿中央口店,東京都新宿区新宿3-27-1 新宿第一ビル　Ｂ１Ｆ
神楽坂イタリアン 400 クワトロ チェント,東京都新宿区神楽坂4-3 近江屋ビル2F
美食 個室・炭火焼・ワイン 縁 新宿店,東京都新宿区新宿3-26-18 カワノビル 5F
KEYAKI 欅,東京都中央区銀座3-3-11 稲垣ビル　Ｂ１Ｆ
牛倉,東京都港区西新橋2-15-2 親和ビル 3F
御曹司 松六家,東京都港区六本木4-10-2
完全個室くずし肉割烹 ○喜 神田駅前店,東京都千代田区鍛冶町1-6-4
OSTERIA BARABABAO 銀座,東京都中央区銀座2-6-5 銀座トレシャス 9Ｆ
銀熊茶寮,東京都中央区銀座6-3-11 西銀座ビル  7F
魚や きてれつ,東京都中央区日本橋人形町2-20-12
神戸牛 しゃぶしゃぶ おもき 離れ 銀座店,東京都中央区銀座5-8-9 4F-B
酒席銀座いさみ,東京都中央区銀座8-10-15
プレミアムレストラン 東京 金のダイニング 鮪金,東京都中央区銀座5-10-13 東洋ライスビル 1F
肉系居酒屋 肉十八番屋 虎ノ門店,東京都港区虎ノ門1-16-4 アーバン虎ノ門ビル1F
NO.1 焼肉しゃぶしゃぶ 食べ放題 歌舞伎町店,東京都新宿区歌舞伎町1-8-3
ベルギービール デリリウムカフェ レゼルブ 赤坂サカス,東京都港区赤坂5-3-1 赤坂Bizタワー  1F
天空の月 渋谷,東京都渋谷区円山町5-18 道玄坂スクエア　３Ｆ
ご馳走や 叶え 神楽坂店,東京都新宿区神楽坂3-6-19 青柳LKビル B1Ｆ
魚がし どまん中 神楽坂店,東京都新宿区神楽坂5-30 エムティティ神楽坂 B1F
銀座ロビー,東京都中央区銀座2-7-7
居酒屋 三平,東京都港区港南2-6-10
居酒屋のむず,東京都千代田区内神田3-18-8 ホワイト駅前ビル2F
どまん中 秋葉原店,東京都千代田区神田佐久間町3-37 酒販会館 B1F
和食バル KO-IKI 神田店,東京都千代田区鍛冶町1-6-5 三州屋ビル
リオ・ブルーイング・コー ビストロアンドガーデン 東京ミッドタウン,東京都港区赤坂9-7-2 東京ミッドタウンプラザ 1F
炭火バル 神田岩本町style 本店,東京都千代田区神田須田町2-13-1 ノルン秋葉原ビル 1Ｆ
でですけ サイゴンキッチン,東京都中央区日本橋室町1-11-4
十勝ハーブ牛ホルモン MONMOM,
四川豆花飯荘 東京店,東京都千代田区丸の内1-5-1 新丸の内ビルディング  6F
Bistro 千,東京都渋谷区道玄坂2-23-11 ビルトオシヨオ 2F
ristorante della collina,東京都渋谷区恵比寿南2-9-4 安島ビル　２Ｆ
羽田市場 黒鍋 秋葉原店,東京都千代田区外神田1-15-18 奥山ビル 4F
一石三鳥,東京都港区新橋4-20-2
日本酒処 季っ酔,東京都千代田区神田北乗物町18-6 山本ビル 1F
bar a vin ROTI,東京都千代田区丸の内3-2-3 丸の内二重橋ビル B1F
